"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","chr","start","end"
"1756","MSTRG.10096",3969.40127,0.064561519,0.045675104,0.140421718,0.249497225,"7",108152524,108152705
"1761","MSTRG.10097",1448.062591,-0.073906789,0.041896261,0.067566468,0.139309267,"7",108254013,108254292
"1766","MSTRG.10098",16647.97941,0.126293149,0.060216455,0.02367699,0.059602104,"7",108174777,108174927
"1787","MSTRG.10099",1950.776097,-0.193382648,0.063666963,0.000905,0.003919257,"7",108223775,108223949
"1795","MSTRG.101",1571.229447,-0.214947252,0.048216935,2.57e-06,2.95e-05,"1",28845973,28846172
"1812","MSTRG.1010",38.70277514,0.099153987,0.136945378,0.304158158,0.447129456,"1",262240298,262240404
"1818","MSTRG.10100",9661.248386,0.345446284,0.107263253,8.33e-05,0.000522,"7",108240567,108240680
"1862","MSTRG.10101",3547.659263,-0.151656671,0.073290321,0.020593201,0.053060494,"7",108260568,108260829
"1869","MSTRG.10102",1247.018135,-0.565285475,0.207367249,0.000231,0.001232023,"7",108282345,108288312
"1876","MSTRG.10103",32.41869329,0.238410852,0.274050777,0.090345342,0.175304419,"7",108879208,108879510
"1878","MSTRG.10104",35.87180095,0.210594547,0.281957571,0.130336529,0.234742995,"7",108879581,108879925
"1880","MSTRG.10105",123.2708083,0.195221402,0.180443117,0.085146466,0.167010477,"7",109920768,109921497
"1884","MSTRG.10106",2913.016516,1.76529803,0.764431399,0.000182,0.001008785,"7",110286837,110286946
"1890","MSTRG.10107",2546.938792,0.072135764,0.037896987,0.050045848,0.109429776,"7",110305002,110305098
"1906","MSTRG.10108",4422.625353,0.29234873,0.085667073,7.3e-05,0.000468,"7",110316961,110317026
"1916","MSTRG.10109",1313.71532,-0.737881302,0.131971174,2.13e-09,6.73e-08,"7",110457705,110457771
"1927","MSTRG.1011",4450.425985,0.968349267,0.296140419,5.22e-05,0.000352,"1",262593162,262593497
"1930","MSTRG.10110",297.5399955,-0.862815642,0.167731118,2.98e-08,6.54e-07,"7",110479564,110479749
"1946","MSTRG.10111",4657.283442,0.052273318,0.048524238,0.258734003,0.398269536,"7",110647477,110647683
"1958","MSTRG.10112",1151.851549,0.149682308,0.117650085,0.097725534,0.186518416,"7",110653000,110653856
"1961","MSTRG.10113",4593.282414,0.138033453,0.056628361,0.00909693,0.027085268,"7",110655245,110695427
"1980","MSTRG.10114",42.18573499,0.028827819,0.126751305,0.754520464,0.842618602,"7",110695808,110696137
"1982","MSTRG.10115",6687.913699,0.135060838,0.055395612,0.009290587,0.02750397,"7",110720288,110720467
"1993","MSTRG.10116",1679.418541,0.116759589,0.098376712,0.149649703,0.262070355,"7",110748078,110800902
"2015","MSTRG.10117",1307.574195,0.107220563,0.079179454,0.123775562,0.225094841,"7",110812687,110812845
"2033","MSTRG.10118",568.2863454,-0.23466548,0.117620028,0.01023337,0.029768793,"7",111055051,111055269
"2040","MSTRG.10119",35598.39433,-0.165559591,0.056025421,0.001562881,0.006175417,"7",111084038,111094072
"2051","MSTRG.1012",1603.599182,0.045886857,0.063331126,0.432219663,0.57684301,"1",262691320,262691351
"2062","MSTRG.10120",926.300145,-0.182018665,0.074581727,0.00603662,0.019242025,"7",111094463,111094765
"2064","MSTRG.10121",4724.806629,0.113065395,0.040366195,0.003758207,0.012930548,"7",111259959,111260116
"2119","MSTRG.10123",8418.232236,1.85421226,0.395688155,5.76e-08,1.17e-06,"7",111341378,111341526
"2158","MSTRG.10124",6411.200558,-0.631731966,0.205140566,7.61e-05,0.000484,"7",111739251,111739501
"2170","MSTRG.10125",362.0493464,-1.20648033,0.341325419,2.07e-05,0.000164,"7",111771087,111771456
"2177","MSTRG.10126",127.6912819,0.114277259,0.237537023,0.341498347,0.48723138,"7",111789675,111792284
"2179","MSTRG.10127",307.3257245,-1.365107393,0.268071423,2.93e-08,6.48e-07,"7",111818339,111818748
"2198","MSTRG.10128",322.2330759,0.267007368,0.147738633,0.011420955,0.032627242,"7",111837878,111838081
"2208","MSTRG.10129",5590.326494,0.039858274,0.028966427,0.161762733,0.278520157,"7",111995623,111995761
"2236","MSTRG.1013",336.6222764,-0.500602296,0.208853284,0.000681,0.003089073,"1",262959865,262960140
"2269","MSTRG.10130",142.184403,-1.783113536,0.23111588,3.37e-16,5.42e-14,"7",112098939,112099031
"2277","MSTRG.10131",231.0410548,-1.496726315,0.228400775,4.01e-12,2.59e-10,"7",112122206,112122304
"2284","MSTRG.10132",2579.05144,0.220553078,0.072621934,0.000663,0.003023708,"7",113015074,113015174
"2299","MSTRG.10133",2482.224999,-0.172193206,0.059292946,0.001725112,0.006710949,"7",113043807,113044235
"2301","MSTRG.10134",1264.628346,0.02492688,0.053960614,0.624428814,0.743616507,"7",113046392,113058825
"2309","MSTRG.10135",5522.200467,-0.020339137,0.034614305,0.547368851,0.679897743,"7",113130164,113130682
"2327","MSTRG.10136",3143.449847,-0.23581935,0.076140384,0.000451,0.002183068,"7",113178382,113187613
"2347","MSTRG.10137",3259.120518,-0.261090572,0.111578298,0.003236577,0.011379331,"7",113272214,113272300
"2366","MSTRG.10138",999.2401873,-0.067907017,0.064372454,0.251301556,0.389964909,"7",113718292,113719941
"2369","MSTRG.10139",4655.306034,0.164873158,0.053008707,0.000947,0.004071853,"7",113634096,113634219
"2544","MSTRG.1014",933.1721493,-0.118097397,0.066988156,0.053057015,0.114888982,"1",263020139,263020357
"2559","MSTRG.10140",6942.982038,-0.030600707,0.043441798,0.464551469,0.606008805,"7",113760836,113760997
"2586","MSTRG.10141",81739.23903,0.295367428,0.111693757,0.000935,0.00403035,"7",114579732,114579902
"2597","MSTRG.10142",801.6832945,-0.146961644,0.043576152,0.000443,0.002150313,"7",114589652,114589823
"2613","MSTRG.10143",21.21926412,0.116992182,0.219381958,0.316148677,0.460253389,"7",114640924,114641552
"2616","MSTRG.10144",259.6332982,-0.130551049,0.117333293,0.147065117,0.258614261,"7",114661574,114661741
"2633","MSTRG.10145",1315.659037,0.635614681,0.780039067,0.020528378,0.052935888,"7",114917106,114917334
"2644","MSTRG.10146",28936.99415,2.882799401,1.14122981,4.15e-05,0.00029,"7",115007163,115029191
"2655","MSTRG.10147",2628.646495,2.429775,0.712419082,4.35e-06,4.53e-05,"7",115144766,115145055
"2665","MSTRG.10148",3251.613913,-0.074029577,0.230084041,0.522114974,0.658087531,"7",115226416,115226587
"2684","MSTRG.10149",580.596733,-0.018749112,0.203090013,0.862380974,0.913517018,"7",115335981,115336166
"2690","MSTRG.1015",3936.679233,-0.573430685,0.1553212,7.77e-06,7.33e-05,"1",263076208,263076361
"2696","MSTRG.10150",2017.919623,-0.098835353,0.227072146,0.397478829,0.543331458,"7",115400485,115400656
"2710","MSTRG.10151",1241.117578,-5.312729119,0.694789671,3.68e-16,5.8e-14,"7",115746268,115746415
"2721","MSTRG.10152",151.3989197,-0.63049727,0.369324516,0.003879238,0.013278771,"7",115843009,115843190
"2732","MSTRG.10153",2244.496395,-0.792354427,0.180267467,8.14e-07,1.13e-05,"7",115894089,115914664
"2757","MSTRG.10154",7147.163006,-1.437146136,0.265572404,4.66e-09,1.35e-07,"7",115976207,115976378
"2769","MSTRG.10155",6319.317574,-0.354597,0.299031802,0.027438569,0.067157453,"7",116004324,116004509
"2792","MSTRG.10156",335.9141501,0.027006582,0.338082995,0.83449621,0.895908903,"7",116052315,116052978
"2799","MSTRG.10157",1891.09215,0.412164731,0.223777996,0.004295239,0.014474714,"7",116125515,116125652
"2810","MSTRG.10158",400.6680967,-0.264568051,0.175983885,0.022641319,0.05747459,"7",116155900,116156072
"2821","MSTRG.10159",802.7192411,0.081011879,0.135183905,0.396351049,0.542112477,"7",116158544,116161390
"2823","MSTRG.1016",877.2567516,-0.516176023,0.125678351,1.25e-06,1.64e-05,"1",263094674,263094946
"2832","MSTRG.10160",1815.625805,-0.105483632,0.099120205,0.195085968,0.321767767,"7",116192259,116192521
"2895","MSTRG.10161",8755.10126,-0.401948489,0.146189775,0.000292,0.001510492,"7",118040849,118040978
"2902","MSTRG.10162",9190.411434,-0.168357628,0.105667952,0.047439663,0.104756888,"7",118384472,118384610
"2928","MSTRG.10163",3739.542234,0.033223149,0.045694683,0.448470283,0.592784265,"7",118430729,118431486
"2931","MSTRG.10164",3344.526731,0.03604963,0.050089993,0.449237741,0.593398325,"7",120266878,120267622
"2952","MSTRG.10165",6613.852321,-0.049621482,0.046458335,0.264723826,0.404738463,"7",120271389,120271537
"2959","MSTRG.10166",886.4475937,-0.188051233,0.11959118,0.040302816,0.091679214,"7",120289175,120289312
"2975","MSTRG.10167",92.97612498,1.268503801,0.358897405,1.92e-05,0.000155,"7",120407310,120407339
"2992","MSTRG.10168",3789.720082,-0.046052811,0.045724015,0.293617311,0.436400535,"7",120638796,120638933
"3004","MSTRG.10169",5039.257406,0.182514595,0.043532628,1.22e-05,0.000107,"7",120659522,120659614
"3016","MSTRG.1017",520.1859613,-0.041511653,0.069654956,0.511136026,0.648417629,"1",263139394,263139580
"3022","MSTRG.10170",2952.054663,0.029589823,0.047913458,0.517967571,0.654193448,"7",120671865,120672104
"3042","MSTRG.10171",969.6687008,-0.132040121,0.079934893,0.059589725,0.126047047,"7",120707690,120708502
"3044","MSTRG.10172",5203.852275,0.209219379,0.081934861,0.003284652,0.011527656,"7",120713721,120713793
"3056","MSTRG.10173",715.5385132,0.110700978,0.067929896,0.073114196,0.147809637,"7",120745816,120752574
"3071","MSTRG.10174",12965.70611,0.074212152,0.088444462,0.325712605,0.470766564,"7",120771837,120772271
"3089","MSTRG.10175",1008.719508,-0.029508239,0.065444918,0.623195657,0.742643031,"7",120777239,120777377
"3097","MSTRG.10176",7263.507048,-0.338245396,0.0879097,7.75e-06,7.32e-05,"7",120809787,120809989
"3102","MSTRG.10177",473.6468653,0.119725847,0.112364279,0.172684952,0.293088638,"7",122989542,122990950
"3105","MSTRG.10178",1423.149216,-0.71373083,0.192233134,9.78e-06,8.85e-05,"7",125008831,125009009
"3119","MSTRG.10179",966.1600523,-2.83479496,1.162870305,5.2e-05,0.00035171,"7",125424988,125425443
"3121","MSTRG.1018",155.6801349,0.226034666,0.121543918,0.015216656,0.041312631,"1",263150448,263151946
"3131","MSTRG.10180",1964.653875,-2.5376227,1.210262657,0.00013,0.000761,"7",125427183,125427647
"3134","MSTRG.10181",8681.228442,-0.157902186,0.036627344,9.02e-06,8.25e-05,"7",125095018,125095273
"3148","MSTRG.10182",46.63576452,-0.016625599,0.274817079,0.891033477,0.932017192,"7",125241732,125241859
"3229","MSTRG.10183",335.6437536,0.060434022,0.173359614,0.560332513,0.6913534,"7",125296778,125301108
"3233","MSTRG.10184",21.22481281,-0.095262201,0.442925389,0.489887643,0.629621127,"7",125559523,125560290
"3237","MSTRG.10185",1491.682224,-0.551113483,0.654478041,0.027281841,0.066845083,"7",125591186,125591242
"3241","MSTRG.10186",216.1131631,-2.285269307,1.370612813,0.000366,0.001827365,"7",125626767,125628445
"3246","MSTRG.10187",36.84590611,-4.017082449,1.179516056,3.35e-06,3.64e-05,"7",125885894,125886151
"3250","MSTRG.10188",41.93005363,0.898324767,0.827629805,0.007299723,0.022522539,"7",126008569,126008577
"3254","MSTRG.10189",2551.434934,-0.084901721,0.164348846,0.409812117,0.555427689,"7",126183613,126183687
"3258","MSTRG.1019",7751.423166,0.117527176,0.10758019,0.169835056,0.289228687,"1",264270133,264270245
"3271","MSTRG.10190",12.40367097,-0.904328665,0.84082747,0.007272251,0.022451023,"7",126958972,126959100
"3276","MSTRG.10191",487.0581524,0.414684714,0.425376156,0.035408101,0.082854236,"7",127293107,127293337
"3285","MSTRG.10192",1738.679111,1.277085502,0.622346103,0.00068,0.003087703,"7",127480624,127481131
"3290","MSTRG.10193",99.30550186,2.753747956,1.280120359,0.000101,0.000617,"7",127628122,127628430
"3295","MSTRG.10194",25.44378986,0.010021219,0.174278837,0.922174324,0.951895145,"7",128221448,128221626
"3300","MSTRG.10195",269.972643,0.120892237,0.118068734,0.180299292,0.303094204,"7",130583498,130583648
"3318","MSTRG.10196",32.00507753,-0.067788364,0.142952734,0.486069932,0.626003875,"7",130686996,130687328
"3320","MSTRG.10197",1618.730972,-0.046328258,0.089012657,0.541380814,0.674805855,"7",131361004,131361140
"3326","MSTRG.10198",971.1178765,-0.143144863,0.087535434,0.055884871,0.119658671,"7",131449250,131449549
"3328","MSTRG.10199",2120.371566,-0.12973119,0.158704804,0.211276032,0.341912032,"7",131734584,131734657
"3343","MSTRG.102",3598.724156,0.107951812,0.048247318,0.018873248,0.049574266,"1",29134530,29134575
"3393","MSTRG.1020",3869.783084,0.07213501,0.125280271,0.434188818,0.579182595,"1",264691008,264691136
"3416","MSTRG.10200",905.0555516,-1.541875398,0.203525117,2.33e-15,3.02e-13,"7",131767987,131768091
"3421","MSTRG.10201",2031.710364,-0.096524845,0.045605079,0.027176048,0.066606173,"7",131813462,131818515
"3444","MSTRG.10202",3273.957776,0.207802444,0.084121896,0.004200067,0.014201614,"7",131846939,131860233
"3448","MSTRG.10203",3552.421662,0.173384372,0.064112745,0.003133023,0.011087991,"7",131905030,131905162
"3477","MSTRG.10204",17326.35573,0.127924167,0.046335572,0.003868887,0.01324898,"7",131957952,131958040
"3495","MSTRG.10205",1727.470461,0.024672384,0.040942561,0.53327527,0.668024818,"7",131990258,132019000
"3502","MSTRG.10206",4560.499951,0.099000434,0.039348118,0.009388318,0.027717476,"7",132054110,132054225
"3508","MSTRG.10207",1836.551592,-0.380102263,0.111944319,3.29e-05,0.000238,"7",132095947,132096539
"3514","MSTRG.10208",3710.908514,-0.409332408,0.072326831,4.7e-10,1.79e-08,"7",132098817,132099044
"3526","MSTRG.10209",18612.86663,-0.033604696,0.080324655,0.633753179,0.750606528,"7",132581695,132581796
"3542","MSTRG.1021",6342.262514,0.307461459,0.066399214,3.28e-07,5.16e-06,"1",264778925,264778994
"3582","MSTRG.10210",9857.207788,-0.371081078,0.25596189,0.013826608,0.038196597,"7",132767135,132784317
"3600","MSTRG.10211",308.2903119,-0.031084218,0.064213476,0.599028421,0.723061483,"7",132747046,132747549
"3602","MSTRG.10212",874.7305051,-0.111179594,0.052585442,0.025150783,0.062616025,"7",132748264,132748580
"3608","MSTRG.10213",2316.294049,0.197583993,0.079909452,0.004681663,0.015532764,"7",132796769,132796943
"3615","MSTRG.10214",10787.39111,-0.022941968,0.118226021,0.797397338,0.872799673,"7",132834299,132837024
"3621","MSTRG.10215",479.9599212,-1.061734356,0.237702694,7.58e-07,1.06e-05,"71",93978,94069
"3629","MSTRG.10216",614.8032502,0.013301376,0.168491623,0.895755553,0.935383923,"71",151222,151370
"3637","MSTRG.10217",83.98624961,0.312909201,0.253509924,0.029622672,0.071673938,"73",284285,284400
"3646","MSTRG.10218",8192.476674,0.035032706,0.078837628,0.614510969,0.735948407,"75",51143,51731
"3664","MSTRG.10219",5412.425385,0.174993297,0.044130011,3.47e-05,0.000249,"8",74682,74898
"3714","MSTRG.1022",1982.107376,0.091102173,0.069327401,0.147198681,0.258792825,"1",265110040,265110383
"3723","MSTRG.10220",3689.984238,-0.988833807,0.146936515,2.66e-12,1.8e-10,"8",1522723,1522897
"3734","MSTRG.10221",32.88301408,-0.318070035,0.477065714,0.088042319,0.171789369,"8",1595826,1595987
"3743","MSTRG.10222",349.5467856,0.095030205,0.097084333,0.236825682,0.372936661,"8",3320528,3320596
"3763","MSTRG.10223",6963.51436,-0.157100975,0.03830731,2.29e-05,0.000178,"8",3670155,3672476
"3768","MSTRG.10224",3.136667712,0.038940745,0.363481619,0.766812831,0.851261251,"8",3688218,3688344
"3774","MSTRG.10225",2170.151231,-0.097234694,0.041956089,0.016261101,0.043683538,"8",3732168,3732254
"3785","MSTRG.10226",2225.183948,-0.258269188,0.096359188,0.001275455,0.005212651,"8",3906474,3911976
"3787","MSTRG.10227",4996.876496,0.095774384,0.073623619,0.146208611,0.257474485,"8",4024879,4030617
"3817","MSTRG.10228",47992.01164,-0.302263294,0.079881939,1.53e-05,0.000129,"8",4037517,4037670
